"EC"	"SMC_Fib"	"Macr"	"T_NK"	"Neut"	"B"
"hsa-miR-218-5p"	72.9551519282285	146.924341961209	4.79303114273118	0	3.19902173512613	0.364944659780872
"hsa-miR-22-3p"	103999.481530132	105247.0053032	113949.720510884	19639.6319959332	7487.72309291018	3939.90854755125
"hsa-miR-22-5p"	81.8880307496279	152.67738049545	135.802784371534	64.7986998472541	20.9257665809051	7.86990644561714
"hsa-miR-221-3p"	9793.76228669902	11834.9657873032	1917.83660095865	2116.74073382034	1896.61349718812	3947.64067206792
"hsa-miR-221-5p"	743.610200425422	1179.24810083333	231.218287329564	125.110518856387	355.984291338048	112.775350646878
"hsa-miR-222-3p"	18882.6914035746	17630.7976480107	1666.75752412453	891.316359188722	448.437076308475	1108.20891770594
"hsa-miR-222-5p"	115.467869535479	95.8641533141274	8.14511770976829	4.48054782656647	0.872460473216218	2.25485772068513
"hsa-miR-223-3p"	0	0.975744732880897	1270.15379269269	117.523291092311	95984.5518171504	1380.5050183356
"hsa-miR-223-5p"	0	0	28.5079523709328	2.91662835639882	87.4189832181051	57.5407248784376
"hsa-miR-224-5p"	331.428529621031	1197.80614631446	0	0	12.9074731954794	2.10227766944043
"hsa-miR-2277-5p"	11.1665434253189	10.3528776753956	18.4407136144705	14.3377068637527	15.6798717561015	3.95303847446898
"hsa-miR-2355-5p"	25.4028662769264	20.7835058260051	21.2778095445594	11.8843649946802	93.8727198158449	23.4164803191478
"hsa-miR-23a-3p"	2134.2179570891	2421.03228744956	2459.6760837476	2767.96827878149	4877.0876469994	328.396037093746
"hsa-miR-23a-5p"	38.319795290258	38.8872686686721	30.3559165065781	26.1494082112004	13.2986295785337	24.7137597868485
"hsa-miR-23b-3p"	424.586254519247	1461.09012737519	70.1226146970967	238.666850743105	247.347756389342	90.6722704683444
"hsa-miR-24-2-5p"	177.819761741064	184.102236236448	266.681800123354	62.7275856060033	142.959752385253	12.5259590040422
"hsa-miR-24-3p"	754.318972892965	925.199268476379	1485.18785657456	714.49151891742	1591.65749030287	363.519355848022
"hsa-miR-2467-5p"	14.0241810250623	7.86151336242606	20.3628346611645	3.58443196380863	25.6736267300777	3.39619743256536
"hsa-miR-25-3p"	2133.67244329853	1430.18338190336	1394.85312423443	4953.04632581866	7492.81018822582	9975.44412572159
"hsa-miR-25-5p"	21.7971974946695	22.9977338955543	11.3481601215698	26.6669305046498	16.4276744093744	13.8527696591835
"hsa-miR-2682-3p"	15.5350749644821	10.2405193219359	0	0	0	0
"hsa-miR-2682-5p"	52.8192267348403	28.036346173065	1.41851815187301	0	0	0
"hsa-miR-26a-2-3p"	23.6136377535997	34.2275172187099	9.92964942298965	24.7258210805818	16.7137306988075	12.980284588484
"hsa-miR-26a-5p"	15139.5911304289	22705.0234895368	25982.3280026499	78642.005189331	80998.2439953858	86984.5568894562
"hsa-miR-26b-3p"	29.7981006266837	31.477074170535	108.642393610745	162.821456265684	134.941390255296	49.3862294385305
"hsa-miR-26b-5p"	1579.09674524625	2012.31425462899	5239.93464588575	15133.6112775525	13854.0853913771	15153.219035428
"hsa-miR-27a-3p"	5760.16809420331	4789.085279041	7211.15774230436	7382.07165779782	5392.01855864586	914.165077790733
"hsa-miR-27a-5p"	111.743132469041	88.5436110798712	43.1372719789047	83.7725921677341	54.9545158042855	59.4536366954344
"hsa-miR-27b-3p"	8592.17237311528	27485.5830953915	1282.93530131673	3447.36286891465	2568.39373947878	7168.03596953853
"hsa-miR-27b-5p"	54.3325366678982	150.906564903552	1.41851815187301	9.51928207567714	2.93351476048538	13.2606364682386
